sick_cd,sick_nm,sickCd,sickEngNm,sickNm
C63,Malignant neoplasm of other and unspecified male genital organs,C63,Malignant neoplasm of other and unspecified male genital organs,기타 및 상세불명의 남성생식기관의 악성 신생물
C64,"Malignant neoplasm of kidney, except renal pelvis",C64,"Malignant neoplasm of kidney, except renal pelvis",신우를 제외한 신장의 악성 신생물
C65,Malignant neoplasm of renal pelvis,C65,Malignant neoplasm of renal pelvis,신우의 악성 신생물
C66,Malignant neoplasm of ureter,C66,Malignant neoplasm of ureter,요관의 악성 신생물
C67,Malignant neoplasm of bladder,C67,Malignant neoplasm of bladder,방광의 악성 신생물
C68,Malignant neoplasm of other and unspecified urinary organs,C68,Malignant neoplasm of other and unspecified urinary organs,기타 및 상세불명의 비뇨기관의 악성 신생물
C69,Malignant neoplasm of eye and adnexa,C69,Malignant neoplasm of eye and adnexa,눈 및 부속기의 악성 신생물
C70,Malignant neoplasm of meninges,C70,Malignant neoplasm of meninges,수막의 악성 신생물
C71,Malignant neoplasm of brain,C71,Malignant neoplasm of brain,뇌의 악성 신생물
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system","척수, 뇌신경 및 중추 신경계통의 기타 부분의 악성 신생물"
C73,Malignant neoplasm of thyroid gland,C73,Malignant neoplasm of thyroid gland,갑상선의 악성 신생물
C74,Malignant neoplasm of adrenal gland,C74,Malignant neoplasm of adrenal gland,부신의 악성 신생물
C75,Malignant neoplasm of other endocrine glands and related structures,C75,Malignant neoplasm of other endocrine glands and related structures,기타 내분비선 및 관련 구조물의 악성 신생물
C76,Malignant neoplasm of other and ill-defined sites,C76,Malignant neoplasm of other and ill-defined sites,기타 및 부위불명의 악성 신생물
C77,Secondary and unspecified malignant neoplasm of lymph nodes,C77,Secondary and unspecified malignant neoplasm of lymph nodes,림프절의 이차성 및 상세불명의 악성 신생물
C78,Secondary malignant neoplasm of respiratory and digestive organs,C78,Secondary malignant neoplasm of respiratory and digestive organs,호흡 및 소화기관의 이차성 악성 신생물
C79,Secondary malignant neoplasm of other and unspecified sites,C79,Secondary malignant neoplasm of other and unspecified sites,기타 및 상세불명 부위의 이차성 악성 신생물
C80,Malignant neoplasm without specification of site,C80,Malignant neoplasm without specification of site,부위의 명시가 없는 악성 신생물
C81,Hodgkin lymphoma,C81,Hodgkin lymphoma,호지킨림프종
C82,Follicular lymphoma,C82,Follicular lymphoma,소포성 림프종
C83,Non-follicular lymphoma,C83,Non-follicular lymphoma,비소포성 림프종
C84,Mature T/NK-cell lymphomas,C84,Mature T/NK-cell lymphomas,성숙T/NK-세포림프종
C85,Other and unspecified types of non-Hodgkin lymphoma,C85,Other and unspecified types of non-Hodgkin lymphoma,기타 및 상세불명 유형의 비호지킨림프종
C86,Other specified types of T/NK-cell lymphoma,C86,Other specified types of T/NK-cell lymphoma,T/NK-세포림프종의 기타 명시된 형태
C88,Malignant immunoproliferative diseases,C88,Malignant immunoproliferative diseases,악성 면역증식성 질환
C90,Multiple myeloma and malignant plasma cell neoplasms,C90,Multiple myeloma and malignant plasma cell neoplasms,다발골수종 및 악성 형질세포신생물
C91,Lymphoid leukaemia,C91,Lymphoid leukaemia,림프성 백혈병
C92,Myeloid leukaemia,C92,Myeloid leukaemia,골수성 백혈병
C93,Monocytic leukaemia,C93,Monocytic leukaemia,단핵구성 백혈병
C94,Other leukaemias of specified cell type,C94,Other leukaemias of specified cell type,명시된 세포형의 기타 백혈병
C95,Leukaemia of unspecified cell type,C95,Leukaemia of unspecified cell type,상세불명 세포형의 백혈병
C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue","림프, 조혈 및 관련 조직의 기타 및 상세불명의 악성 신생물"
C97,Malignant neoplasms of independent (primary) multiple sites,C97,Malignant neoplasms of independent (primary) multiple sites,독립된(원발성) 여러 부위의 악성 신생물
D00,"Carcinoma in situ of oral cavity, oesophagus and stomach",D00,"Carcinoma in situ of oral cavity, oesophagus and stomach","구강, 식도 및 위의 제자리암종"
D01,Carcinoma in situ of other and unspecified digestive organs,D01,Carcinoma in situ of other and unspecified digestive organs,기타 및 상세불명의 소화기관의 제자리암종
D02,Carcinoma in situ of middle ear and respiratory system,D02,Carcinoma in situ of middle ear and respiratory system,중이 및 호흡계통의 제자리암종
D03,Melanoma in situ,D03,Melanoma in situ,제자리흑색종
D04,Carcinoma in situ of skin,D04,Carcinoma in situ of skin,피부의 제자리암종
D05,Carcinoma in situ of breast,D05,Carcinoma in situ of breast,유방의 제자리암종
