sick_cd,sick_nm,sickCd,sickEngNm,sickNm
V55,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle,V55,Occupant of pick-up truck or van injured in collision with railway train or railway vehicle,열차 또는 철도차량과의 충돌로 다친 픽업트럭 또는 밴 탑승자
V56,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle,V56,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle,기타 무동력차량과의 충돌로 다친 픽업트럭 또는 밴 탑승자
V57,Occupant of pick-up truck or van injured in collision with fixed or stationary object,V57,Occupant of pick-up truck or van injured in collision with fixed or stationary object,고정 또는 정지된 물체와의 충돌로 다친 픽업트럭 또는 밴 탑승자
V58,Occupant of pick-up truck or van injured in noncollision transport accident,V58,Occupant of pick-up truck or van injured in noncollision transport accident,비충돌 운수사고에서 다친 픽업트럭 또는 밴 탑승자
V59,Occupant of pick-up truck or van injured in other and unspecified transport accidents,V59,Occupant of pick-up truck or van injured in other and unspecified transport accidents,기타 및 상세불명의 운수사고에서 다친 픽업트럭 또는 밴 탑승자
V60,Occupant of heavy transport vehicle injured in collision with pedestrian or animal,V60,Occupant of heavy transport vehicle injured in collision with pedestrian or animal,보행자 또는 동물과의 충돌로 다친 대형화물차 탑승자
V61,Occupant of heavy transport vehicle injured in collision with pedal cycle,V61,Occupant of heavy transport vehicle injured in collision with pedal cycle,자전거와의 충돌로 다친 대형화물차 탑승자
V62,Occupant of heavy transport vehicle injured in collision with two-or three-wheeled motor vehicle,V62,Occupant of heavy transport vehicle injured in collision with two-or three-wheeled motor vehicle,이륜 또는 삼륜자동차와의 충돌로 다친 대형화물차 탑승자
V63,"Occupant of heavy transport vehicle injured in collision with car,pick-up truck or van",V63,"Occupant of heavy transport vehicle injured in collision with car,pick-up truck or van","승용차, 픽업트럭 또는 밴과의 충돌로 다친 대형화물차 탑승자"
V64,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus,V64,Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus,대형화물차 또는 버스와의 충돌로 다친 대형화물차 탑승자
V65,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle,V65,Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle,열차 또는 철도차량과의 충돌로 다친 대형화물차 탑승자
V66,Occupant of heavy transport vehicle in collision with other nonmotor vehicle,V66,Occupant of heavy transport vehicle in collision with other nonmotor vehicle,기타 무동력차량과의 충돌로 다친 대형화물차 탑승자
V67,Occupant of heavy transport vehicle injured in collision with fixed or stationary object,V67,Occupant of heavy transport vehicle injured in collision with fixed or stationary object,고정 또는 정지된 물체와의 충돌로 다친 대형화물차 탑승자
V68,Occupant of heavy transport vehicle injured in noncollision transport accident,V68,Occupant of heavy transport vehicle injured in noncollision transport accident,비충돌 운수사고에서 다친 대형화물차 탑승자
V69,Occupant of heavy transport vehicle injured in other and unspecified transport accidents,V69,Occupant of heavy transport vehicle injured in other and unspecified transport accidents,기타 및 상세불명의 운수사고에서 다친 대형화물차 탑승자
V70,Bus occupant injured in collision with pedestrian or animal,V70,Bus occupant injured in collision with pedestrian or animal,보행자 또는 동물과의 충돌로 다친 버스 탑승자
V71,Bus occupant injured in collision with pedal cycle,V71,Bus occupant injured in collision with pedal cycle,자전거와 충돌로 다친 버스 탑승자
V72,Bus occupant injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,V72,Bus occupant injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,이륜 또는 삼륜자동차와 충돌로 다친 버스 탑승자
V73,"Bus occupant injured in collision with car, pick-up truck or van",V73,"Bus occupant injured in collision with car, pick-up truck or van","승용차, 픽업트럭 또는 밴과 충돌로 다친 버스 탑승자"
V74,Bus occupant injured in collision with heavy transport vehicle or bus,V74,Bus occupant injured in collision with heavy transport vehicle or bus,대형화물차 또는 버스와 충돌로 다친 버스 탑승자
V75,Bus occupant injured in collision with railway train or railway vehicle,V75,Bus occupant injured in collision with railway train or railway vehicle,열차 또는 철도차량과의 충돌로 다친 버스 탑승자
V76,Bus occupant injured in collision with other nonmotor vehicle,V76,Bus occupant injured in collision with other nonmotor vehicle,기타 무동력차량과 충돌로 다친 버스 탑승자
V77,Bus occupant injured in collision with fixed or stationary object,V77,Bus occupant injured in collision with fixed or stationary object,고정 또는 정지된 물체와의 충돌로 다친 버스 탑승자
V78,Bus occupant injured in noncollision transport accident,V78,Bus occupant injured in noncollision transport accident,비충돌 운수사고에서 다친 버스 탑승자
V79,Bus occupant injured in other and unspecified transport accidents,V79,Bus occupant injured in other and unspecified transport accidents,기타 및 상세불명의 운수사고에서 다친 버스 탑승자
V80,Animal-rider or occupant of animal-drawn vehicle injured in transport accident,V80,Animal-rider or occupant of animal-drawn vehicle injured in transport accident,운수사고에서 다친 동물 또는 동물-견인차량 탑승자
V81,Occupant of railway train or railway vehicle injured in transport accident,V81,Occupant of railway train or railway vehicle injured in transport accident,운수사고에서 다친 열차 또는 철도차량 탑승자
V82,Occupant of streetcar injured in transport accident,V82,Occupant of streetcar injured in transport accident,운수사고에서 다친 전차 탑승자
V83,Occupant of special vehicle mainly used on industrial premises injured in transport accident,V83,Occupant of special vehicle mainly used on industrial premises injured in transport accident,운수사고에서 다친 주로 산업구내에서 사용되는 특수차량 탑승자
V84,Occupant of special vehicle mainly used in agriculture injured in transport accident,V84,Occupant of special vehicle mainly used in agriculture injured in transport accident,운수사고에서 다친 주로 농업에 사용되는 특수차량의 탑승자
V85,Occupant of special construction vehicle injured in transport accident,V85,Occupant of special construction vehicle injured in transport accident,운수사고에서 다친 특수건설용 차량 탑승자
V86,"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident",V86,"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident",운수사고에서 다친 주로 비도로 주행을 위해 설계된 특수 전지형차량 또는 기타 자동차 탑승자
V87,Traffic accident of specified type but victim’s mode of transport unknown,V87,Traffic accident of specified type but victim’s mode of transport unknown,피해자의 교통수단을 알지 못하는 명시된 형태의 교통사고
V88,Nontraffic accident of specified type but victim’s mode of transport unknown,V88,Nontraffic accident of specified type but victim’s mode of transport unknown,피해자의 교통수단을 알지 못하는 명시된 형태의 비교통사고
V89,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified",V89,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified",상세불명 차량형태의 자동차 또는 무동력차 사고
V90,Accident to watercraft causing drowning and submersion,V90,Accident to watercraft causing drowning and submersion,익사 및 익수의 원인이 된 선박사고
V91,Accident to watercraft causing other injury,V91,Accident to watercraft causing other injury,기타 손상의 원인이 된 선박사고
V92,Water-transport-related drowning or submersion without accident to watercraft,V92,Water-transport-related drowning or submersion without accident to watercraft,선박사고가 없는 수상운수 관련 익사 및 익수
V93,"Accident on board watercraft without accident to watercraft, not causing drowning and submersion",V93,"Accident on board watercraft without accident to watercraft, not causing drowning and submersion",익사 및 익수의 원인이 아닌 선박사고가 없는 선상사고
V94,Other and unspecified water transport accidents,V94,Other and unspecified water transport accidents,기타 및 상세불명의 수상운수사고
V95,Accident to powered aircraft causing injury to occupant,V95,Accident to powered aircraft causing injury to occupant,탑승자가 다친 동력항공기 사고
V96,Accident to nonpowered aircraft causing injury to occupant,V96,Accident to nonpowered aircraft causing injury to occupant,탑승자가 다친 무동력항공기 사고
V97,Other specified air transport accidents,V97,Other specified air transport accidents,기타 명시된 항공운수사고
V98,Other specified transport accidents,V98,Other specified transport accidents,기타 명시된 운수사고
V99,Unspecified transport accident,V99,Unspecified transport accident,상세불명의 운수사고
W00,Fall on same level involving ice and snow,W00,Fall on same level involving ice and snow,얼음 또는 눈에 의한 동일 면상에서의 낙상
W01,"Fall on same level from slipping, tripping and stumbling",W01,"Fall on same level from slipping, tripping and stumbling","미끄러짐, 걸림 및 헛디딤에 의한 동일 면상에서의 낙상"
W02,"Fall involving ice-skates, skis, roller-skates or skateboards",W02,"Fall involving ice-skates, skis, roller-skates or skateboards","스케이트, 스키, 롤러-스케이트 또는 스케이트보드에 의한 낙상"
W03,"Other fall on same level due to collision with, or pushing by, another person",W03,"Other fall on same level due to collision with, or pushing by, another person",타인과 충돌이나 타인의 밀치기에 의한 동일면상에서의 기타 낙상
W04,Fall while being carried or supported by other persons,W04,Fall while being carried or supported by other persons,타인에 의한 운반이나 지지를 받는 동안의 낙상
W05,Fall involving wheelchair,W05,Fall involving wheelchair,휠체어가 관여된 낙상
W06,Fall involving bed,W06,Fall involving bed,침대가 관여된 낙상
W07,Fall involving chair,W07,Fall involving chair,의자가 관여된 낙상
W08,Fall involving other furniture,W08,Fall involving other furniture,기타 가구가 관여된 낙상
W09,Fall involving playground equipment,W09,Fall involving playground equipment,운동장비가 관여된 낙상
W10,Fall on and from stairs and steps,W10,Fall on and from stairs and steps,계단에서의 낙상
W11,Fall on and from ladder,W11,Fall on and from ladder,사다리에서의 낙상
W12,Fall on and from scaffolding,W12,Fall on and from scaffolding,비계발판에서의 낙상
W13,"Fall from, out of or through building or structure",W13,"Fall from, out of or through building or structure",빌딩 또는 구조물에서의 낙상
W14,Fall from tree,W14,Fall from tree,나무에서의 낙상
W15,Fall from cliff,W15,Fall from cliff,절벽에서의 낙상
W16,Diving or jumping into water causing injury other than drowning or submersion,W16,Diving or jumping into water causing injury other than drowning or submersion,익사 및 익수 이외 손상의 원인인 물로 다이빙 또는 뛰어듬
W17,Other fall from one level to another,W17,Other fall from one level to another,기타 한 면에서 다른 면으로 넘어짐
W18,Other fall on same level,W18,Other fall on same level,동일면상에서의 기타 낙상
W19,Unspecified fall,W19,Unspecified fall,상세불명의 낙상
W20,"Struck by thrown, projected or falling object(s)",W20,"Struck by thrown, projected or falling object(s)","던져진, 쏘아진 또는 떨어지는 물체에 의한 타격"
W21,Striking against or struck by sports equipment,W21,Striking against or struck by sports equipment,스포츠장비에 의한 타격
W22,Striking against or struck by other object(s),W22,Striking against or struck by other object(s),다른 물체에 의한 타격
W23,"Caught, crushed, jammed or pinched in or between objects",W23,"Caught, crushed, jammed or pinched in or between objects","물체 속이나 사이에 붙잡힘, 으깨짐, 뭉개짐 또는 끼임"
W24,"Contact with lifting and transmission device(s), NEC",W24,"Contact with lifting and transmission device(s), NEC",달리 분류되지 않은 인양 및 변속장치와의 접촉
W25,Contact with sharp glass,W25,Contact with sharp glass,날카로운 유리와 접촉
W26,Contact with other sharp object(s),W26,Contact with other sharp object(s),기타 날카로운 물체와 접촉
W27,Contact with nonpowered hand tool,W27,Contact with nonpowered hand tool,무동력 손공구와 접촉
W28,Contact with powered lawnmower,W28,Contact with powered lawnmower,동력잔디깎기와의 접촉
W29,Contact with other powered hand tools and household machinery,W29,Contact with other powered hand tools and household machinery,기타 동력손공구 및 가정용 기계류와의 접촉
W30,Contact with agricultural machinery,W30,Contact with agricultural machinery,농업용기계와 접촉
W31,Contact with other and unspecified machinery,W31,Contact with other and unspecified machinery,기타 및 상세불명의 기계류와 접촉
W32,Handgun discharge,W32,Handgun discharge,권총 발사
W33,"Rifle, shotgun and larger firearm discharge",W33,"Rifle, shotgun and larger firearm discharge","라이플, 엽총 및 기타 큰 화기발사"
W34,Discharge from other and unspecified firearms,W34,Discharge from other and unspecified firearms,기타 및 상세불명의 화기발사
W35,Explosion and rupture of boiler,W35,Explosion and rupture of boiler,보일러 폭발 및 파열
W36,Explosion and rupture of gas cylinder,W36,Explosion and rupture of gas cylinder,가스통 폭발 및 파열
W37,"Explosion and rupture of pressurized tire, pipe or hose",W37,"Explosion and rupture of pressurized tire, pipe or hose","압축 타이어, 파이프 또는 호스의 폭발 및 파열"
W38,Explosion and rupture of other specified pressurized devices,W38,Explosion and rupture of other specified pressurized devices,기타 명시된 가압장치의 폭발 및 파열
W39,Discharge of firework,W39,Discharge of firework,불꽃발사
W40,Explosion of other materials,W40,Explosion of other materials,기타 물질의 폭발
W41,Exposure to high-pressure jet,W41,Exposure to high-pressure jet,고압 분사에 노출
W42,Exposure to noise,W42,Exposure to noise,소음에 노출
W43,Exposure to vibration,W43,Exposure to vibration,진동에 노출
W44,Foreign body entering into or through eye or natural orifice,W44,Foreign body entering into or through eye or natural orifice,눈 또는 인체의 개구부를 통하여 들어온 이물
W45,Foreign body or object entering through skin,W45,Foreign body or object entering through skin,피부를 통하여 들어온 이물 또는 물체
W46,Contact with hypodermic needle,W46,Contact with hypodermic needle,피하 주사바늘과 접촉
W49,Exposure to other and unspecified inanimate mechanical forces,W49,Exposure to other and unspecified inanimate mechanical forces,기타 및 상세불명의 무생물성 기계적 힘에 노출
W50,"Hit, struck, kicked, twisted, bitten or scratched by another person",W50,"Hit, struck, kicked, twisted, bitten or scratched by another person","타인에 의해 맞음, 부딪힘, 차임, 비틀림, 물림 또는 찰과"
W51,Striking against or bumped into another person,W51,Striking against or bumped into another person,타인과 부딪힘 또는 받힘
W52,"Crushed, pushed or stepped on by crowd or human stampede",W52,"Crushed, pushed or stepped on by crowd or human stampede","군중 또는 사람의 쇄도에 의한 으깨짐, 밀림 또는 밟힘"
W53,Bitten by rat,W53,Bitten by rat,쥐에 물림
W54,Bitten or struck by dog,W54,Bitten or struck by dog,개에 물림 또는 부딪힘
W55,Bitten or struck by other mammals,W55,Bitten or struck by other mammals,기타 포유동물에 의한 물림 또는 부딪힘
W56,Contact with marine animal,W56,Contact with marine animal,바다 동물과 접촉
W57,Bitten or stung by nonvenomous insect and other nonvenomous arthropods,W57,Bitten or stung by nonvenomous insect and other nonvenomous arthropods,무독액성 곤충 및 기타 무독액성 절지동물에 물림 또는 쏘임
W58,Bitten or struck by crocodile or alligator,W58,Bitten or struck by crocodile or alligator,악어에 물림 또는 부딪힘
W59,Bitten or crushed by other reptiles,W59,Bitten or crushed by other reptiles,기타 파충류에 물림 또는 으깨짐
W60,"Contact with plant thorns, and spines and sharp leaves",W60,"Contact with plant thorns, and spines and sharp leaves",식물의 가시 및 날카로운 잎사귀와 접촉
W64,Exposure to other and unspecified animate mechanical forces,W64,Exposure to other and unspecified animate mechanical forces,기타 및 상세불명의 생물성 기계적 힘에 노출
W65,Drowning and submersion while in bath-tub,W65,Drowning and submersion while in bath-tub,목욕통 안에 있는 동안의 익사 및 익수
W66,Drowning and submersion following fall into bath-tub,W66,Drowning and submersion following fall into bath-tub,목욕통으로 떨어진 후의 익사 및 익수
W67,Drowning and submersion while in swimming-pool,W67,Drowning and submersion while in swimming-pool,수영장 안에 있는 동안의 익사 및 익수
W68,Drowning and submersion following fall into swimming-pool,W68,Drowning and submersion following fall into swimming-pool,수영장으로 떨어진 후의 익사 및 익수
W69,Drowning and submersion while in natural water,W69,Drowning and submersion while in natural water,자연수 안에 있는 동안의 익사 및 익수
W70,Drowning and submersion following fall into natural water,W70,Drowning and submersion following fall into natural water,자연수로 떨어진 후의 익사 및 익수
W73,Other specified drowning and submersion,W73,Other specified drowning and submersion,기타 명시된 익사 및 익수
W74,Unspecified drowning and submersion,W74,Unspecified drowning and submersion,상세불명의 익사 및 익수
W75,Accidental suffocation and strangulation in bed,W75,Accidental suffocation and strangulation in bed,침대에서의 우발적 질식 및 교액
W76,Other accidental hanging and strangulation,W76,Other accidental hanging and strangulation,기타 불의의 목맴 및 교액
W77,"Threats to breathing due to cave-in, falling earth and other substances",W77,"Threats to breathing due to cave-in, falling earth and other substances","붕괴, 떨어지는 흙 및 기타 물질에 의한 호흡 위협"
W78,Inhalation of gastric contents,W78,Inhalation of gastric contents,위 내용물의 흡입
W79,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,Inhalation and ingestion of food causing obstruction of respiratory tract,기도폐색의 원인이 된 음식물의 흡입 및 섭취
W80,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Inhalation and ingestion of other objects causing obstruction of respiratory tract,기도 폐색의 원인이 된 기타 물건의 흡입 및 섭취
W81,Confined to or trapped in a low-oxygen environment,W81,Confined to or trapped in a low-oxygen environment,저산소환경에 갇힘
W83,Other specified threats to breathing,W83,Other specified threats to breathing,호흡의 기타 명시된 위협
W84,Unspecified threats to breathing,W84,Unspecified threats to breathing,호흡의 상세불명 위협
W85,Exposure to electric transmission lines,W85,Exposure to electric transmission lines,송전선에 노출
W86,Exposure to other specified electric current,W86,Exposure to other specified electric current,기타 명시된 전류에 노출
W87,Exposure to unspecified electric current,W87,Exposure to unspecified electric current,상세불명의 전류에 노출
W88,Exposure to ionizing radiation,W88,Exposure to ionizing radiation,이온화 방사선에 노출
W89,Exposure to man-made visible and ultraviolet light,W89,Exposure to man-made visible and ultraviolet light,인공 가시광선 및 자외선에 노출
W90,Exposure to other nonionizing radiation,W90,Exposure to other nonionizing radiation,기타 비이온화방사선에의 노출
W91,Exposure to unspecified type of radiation,W91,Exposure to unspecified type of radiation,상세불명의 형태의 방사선에 노출
W92,Exposure to excessive heat of man-made origin,W92,Exposure to excessive heat of man-made origin,인공적 과잉열에 노출
W93,Exposure to excessive cold of man-made origin,W93,Exposure to excessive cold of man-made origin,인공적 과잉한랭에 노출
W94,Exposure to high and low air pressure and changes in air pressure,W94,Exposure to high and low air pressure and changes in air pressure,고압 및 저압 및 기압의 변화에 노출
W99,Exposure to other and unspecified man-made environmental factors,W99,Exposure to other and unspecified man-made environmental factors,기타 및 상세불명의 인공환경 요인에 노출
X00,Exposure to uncontrolled fire in building or structure,X00,Exposure to uncontrolled fire in building or structure,건물 또는 구조물 안에서 통제되지 않은 불에 노출
X01,"Exposure to uncontrolled fire, not in building or structure",X01,"Exposure to uncontrolled fire, not in building or structure",건물 또는 구조물이 아닌 곳에서 통제되지 않은 불에 노출
X02,Exposure to controlled fire in building or structure,X02,Exposure to controlled fire in building or structure,건물 또는 구조물안에서 통제된 불에 노출
X03,"Exposure to controlled fire, not in building or structure",X03,"Exposure to controlled fire, not in building or structure",건물 또는 구조물이 아닌 곳에서 통제된 불에 노출
X04,Exposure to ignition of highly flammable material,X04,Exposure to ignition of highly flammable material,높은 가연성 물질의 발화에 노출
X05,Exposure to ignition or melting of nightwear,X05,Exposure to ignition or melting of nightwear,잠옷의 발화 또는 녹아내림에 노출
X06,Exposure to ignition or melting of other clothing and apparel,X06,Exposure to ignition or melting of other clothing and apparel,기타 의류의 발화 또는 녹아내림에 노출
X08,"Exposure to other specified smoke, fire and flames",X08,"Exposure to other specified smoke, fire and flames","기타 명시된 연기, 불 및 불꽃에 노출"
X09,"Exposure to unspecified smoke, fire and flames",X09,"Exposure to unspecified smoke, fire and flames","상세불명의 연기, 불 및 불꽃에의 노출"
X10,"Contact with hot drinks, food, fats and cooking oils",X10,"Contact with hot drinks, food, fats and cooking oils","뜨거운 음료 식품, 지방 및 조리용 기름과 접촉"
X11,Contact with hot tap-water,X11,Contact with hot tap-water,뜨거운 수돗물과 접촉
X12,Contact with other hot fluids,X12,Contact with other hot fluids,기타 뜨거운 용액과 접촉
X13,Contact with steam and hot vapours,X13,Contact with steam and hot vapours,증기 및 뜨거운 김과 접촉
X14,Contact with hot air and gases,X14,Contact with hot air and gases,뜨거운 공기 및 가스와 접촉
X15,Contact with hot household appliances,X15,Contact with hot household appliances,뜨거운 가정기기와 접촉
X16,"Contact with hot heating appliances, radiators and pipe",X16,"Contact with hot heating appliances, radiators and pipe","뜨거운 난방장치, 방열기 및 파이프와 접촉"
X17,"Contact with hot engines, machinery and tools",X17,"Contact with hot engines, machinery and tools","뜨거운 엔진, 기계 및 공구와 접촉"
X18,Contact with other hot metals,X18,Contact with other hot metals,기타 뜨거운 금속과 접촉
X19,Contact with other and unspecified heat and hot substances,X19,Contact with other and unspecified heat and hot substances,기타 및 상세불명의 열 및 뜨거운 물질과 접촉
X20,Contact with venomous snakes and lizards,X20,Contact with venomous snakes and lizards,독액성 뱀 및 도마뱀과 접촉
X21,Contact with venomous spiders,X21,Contact with venomous spiders,독거미와 접촉
X22,Contact with scorpions,X22,Contact with scorpions,전갈과 접촉
X23,"Contact with hornets, wasps and bees",X23,"Contact with hornets, wasps and bees","장수말벌, 말벌 및 꿀벌과 접촉"
X24,Contact with centipedes and venomous millipedes (tropical),X24,Contact with centipedes and venomous millipedes (tropical),지네 및 독액성 노래기(열대성)와 접촉
X25,Contact with other venomous arthropods,X25,Contact with other venomous arthropods,기타 독액성 절지동물과 접촉
X26,Contact with venomous marine animals and plants,X26,Contact with venomous marine animals and plants,독액성 해양동물 및 식물과 접촉
X27,Contact with other specified venomous animals,X27,Contact with other specified venomous animals,기타 명시된 독액성 동물과 접촉
X28,Contact with other specified venomous plants,X28,Contact with other specified venomous plants,기타 명시된 독액성 식물과 접촉
X29,Contact with unspecified venomous animal or plant,X29,Contact with unspecified venomous animal or plant,상세불명의 독액성 동물 또는 식물과 접촉
X30,Exposure to excessive natural heat,X30,Exposure to excessive natural heat,과다한 자연열에 노출
X31,Exposure to excessive natural cold,X31,Exposure to excessive natural cold,과다한 자연한랭에 노출
X32,Exposure to sunlight,X32,Exposure to sunlight,일광에 노출
X33,Victim of lightning,X33,Victim of lightning,벼락에 의한 피해
X34,Victim of earthquake,X34,Victim of earthquake,지진에 의한 피해
X35,Victim of volcanic eruption,X35,Victim of volcanic eruption,화산폭발에 의한 피해
X36,"Victim of avalanche, landslide and other earth movements",X36,"Victim of avalanche, landslide and other earth movements","눈사태, 산사태 및 기타 지각운동에 의한 피해"
X37,Victim of cataclysmic storm,X37,Victim of cataclysmic storm,지각변동 폭풍의 피해
X38,Victim of flood,X38,Victim of flood,홍수의 피해
X39,Exposure to other and unspecified forces of nature,X39,Exposure to other and unspecified forces of nature,자연의 기타 및 상세불명 힘에 노출
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics","비아편유사진통제, 해열제 및 항류마티스제에 의한 불의의 중독 및 노출"
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, NEC",X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, NEC","달리 분류되지 않은 항뇌전증제, 진정제-수면제, 항파킨슨제, 정신작용제에 의한 불의의 중독 및 노출"
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics[hallucinogens], NEC",X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics[hallucinogens], NEC",달리 분류되지 않은 마약 및 환각제에 의한 불의의 중독 및 노출
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,자율신경계통에 작용하는 기타 약물에 의한 불의의 중독 및 노출
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","기타 및 상세불명의 약물, 약제 및 생물학적 물질에 의한 불의의 중독 및 노출"
X45,Accidental poisoning by and exposure to alcohol,X45,Accidental poisoning by and exposure to alcohol,알코올에 의한 불의의 중독 및 노출
X46,Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,X46,Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,유기용제 및 할로겐화 탄화수소 및 그 휘발성 물질에 의한 불의의 중독 및 노출
X47,Accidental poisoning by and exposure to carbon monoxide and other gases and vapours,X47,Accidental poisoning by and exposure to carbon monoxide and other gases and vapours,"일산화탄소 및 기타 가스, 휘발성 물질에 의한 불의의 중독 및 노출"
X48,Accidental poisoning by and exposure to pesticides,X48,Accidental poisoning by and exposure to pesticides,유해생물방제제(농약)에 의한 불의의 중독 및 노출
X49,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,X49,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,기타 및 상세불명의 화학물질 및 독성물질에 의한 불의의 중독 및 노출
X50,Overexertion and strenuous or repetitive movements,X50,Overexertion and strenuous or repetitive movements,과잉노력 및 격심한 또는 반복적 운동
X51,Travel and motion,X51,Travel and motion,여행 및 이동
X52,Prolonged stay in weightless environment,X52,Prolonged stay in weightless environment,무중력환경에서의 장기간 체류
X53,Lack of food,X53,Lack of food,식량부족
X54,Lack of water,X54,Lack of water,물부족
X57,Unspecified privation,X57,Unspecified privation,상세불명의 결핍
X58,Exposure to other specified factors,X58,Exposure to other specified factors,기타 명시된 요인에 노출
X59,Exposure to unspecified factor,X59,Exposure to unspecified factor,상세불명의 요인에 노출
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics","비아편유사진통제, 해열제, 항류마티스제에 의한 자의적 중독 및 노출"
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, NEC",X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, NEC","달리 분류되지 않은 항뇌전증제, 진정제-수면제, 항파킨슨제 및 정신작용제에 의한 자의의 중독 및 노출"
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], NEC",X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], NEC",달리 분류되지 않은 마약 및 환각제에 의한 자의의 중독 및 노출
X63,Intentional self- poisoning by and exposure to other drugs acting on the autonomic nervous system,X63,Intentional self- poisoning by and exposure to other drugs acting on the autonomic nervous system,자율신경계통에 작용하는 기타 약물에 의한 자의의 중독 및 노출
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","기타 및 상세불명의 약물, 약제 및 생물학적 물질에 의한 자의의 중독 및 노출"
X65,Intentional self-poisoning by and exposure to alcohol,X65,Intentional self-poisoning by and exposure to alcohol,알코올에 의한 자의의 중독 및 노출
X66,Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,X66,Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,유기용제 및 할로겐화 탄화수소 및 그 휘발성 물질에 의한 자의의 중독 및 노출
X67,Intentional self-poisoning by and exposure to carbon monoxide and other gases and vapours,X67,Intentional self-poisoning by and exposure to carbon monoxide and other gases and vapours,"일산화탄소 및 기타 가스, 휘발성 물질에 의한 자의의 중독 및 노출"
X68,Intentional self-poisoning by and exposure to pesticides,X68,Intentional self-poisoning by and exposure to pesticides,유해생물방제제(농약)에 의한 자의의 중독 및 노출
X69,Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances,X69,Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances,기타 및 상세불명의 화학물질 및 독성물질에 의한 자의의 중독 및 노출
X70,"Intentional self-harm by hanging, strangulation and suffocation",X70,"Intentional self-harm by hanging, strangulation and suffocation","목맴, 교액 및 질식에 의한 의도적 자해"
X71,Intentional self-harm by drowning and submersion,X71,Intentional self-harm by drowning and submersion,익사 및 익수에 의한 의도적 자해
X72,Intentional self-harm by handgun discharge,X72,Intentional self-harm by handgun discharge,권총발사에 의한 의도적 자해
X73,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,"Intentional self-harm by rifle, shotgun and larger firearm discharge","라이플, 엽총 및 기타 큰 화기발사에 의한 의도적 자해"
X74,Intentional self-harm by other and unspecified firearm discharge,X74,Intentional self-harm by other and unspecified firearm discharge,기타 및 상세불명의 화기발사에 의한 의도적 자해
X75,Intentional self-harm by explosive material,X75,Intentional self-harm by explosive material,폭발성 물질에 의한 의도적 자해
X76,"Intentional self-harm by smoke, fire and flames",X76,"Intentional self-harm by smoke, fire and flames","연기, 불 및 불꽃에 의한 의도적 자해"
X77,"Intentional self-harm by steam, hot vapours and hot objects",X77,"Intentional self-harm by steam, hot vapours and hot objects","증기, 뜨거운 김 및 뜨거운 물체에 의한 의도적 자해"
